Calleja-Bendaño	Pedro-Sergio-Jonguitud-Barragán	y,el,subteniente
Sandy-González	Lupsha	1,el,vez,su,fuente
Gonzalo	Araujo	su,ser,apellido
Chapo	Güero-Palma	decir,como,her,al
Chapo	Mochomo	importó,siquiera,que,el
Chapo	Zambada	amigo,muy,de,del
Chapo	Zulema	y,el,intercambiar
Delegación	Caballeros	el,en,estatal
Delegación	Sonora	el,en,estatal
Trabajadores	Instituto	y,3,de
Trabajadores	Seguridad-Sociales	y,3,de
Carpizo	Francia	irse,embajador,como
Carpizo	México	irse,embajador,como
Carpizo	París	irse,embajador,como
Carpizo	Andrade	y,de,ganancia,pescador
Jefes-Arturo-Beltrán-Leyva	Altitude	en,después
Jefes-Arturo-Beltrán-Leyva	Cuernavaca	en,después
Óscar-Naranjo	Arturo-Beltrán-Leyva	el,quien,que,afirmar
Argentina	Martínez-Espinoza	ser,extraditar
Chihuahua-Juárez	Carrillo	y,fuente,en
Navojoa	Seguridad-Pública	director,de,ser
Navojoa	Salazar-Zamorano	el,de,presencia
Arturo-Chávez-Chávez	Procuraduría-General	titular,llegar
Arturo-Chávez-Chávez	Congreso	har,ser
Amberto	Alfredo	y,el,hermano
Amberto	Carlos-Beltrán-Leyva	y,el,hermano
PIB	México	recaudar,seguir,sólo,poder
PRI	Patricia-Terroba	dirigente,del,ex
PRI	Roberto-Madrazo-Pintado	dirigente,del,ex
Departamento	Aduanas-Seguridad	y,el,en
Departamento	Frontera	y,el,en
Milenio	Evangélica	el,iglesia,así,pues
Milenio	Resistencia	el,iglesia,así,pues
Juan-José-Esparragoza-Moreno	Zambada	el,mayo,en,estas,así
Zapopan	Calma	marzo,de,en
Juan-José-Esparragoza	Barón	el,de,poder
Juan-José-Esparragoza	Babunica	el,de,poder
Menores	Cotume	de,5
Menores	Consejo-Tutelar	de,5
Álamos	Martín-Noé-Aragón-Panduro-Andrés-Gómez-Salmerón	1,el,en
Álamos	Mochis	1,el,en
Álamos	Sinaloa	1,el,en
Tamaulipas	Oaxaca-Michoacán	también,en
Tamaulipas	Morelos	también,en
Sociales	Instituto	y,experto,catedrático,ser
Sociales	Astorga	y,experto,catedrático,ser
Evangélica	Resistencia	el,iglesia,así,pues
Marcola	Globo	decir,esto,por,ejemplo
Marcola	Marcos-Camacho	el,mejor,brasileño
Originario	Sonora	del,de,estado
C.-H.-David-Barrón	Araujo	lo,recomendar,su,con
Edgar-Enrique-Bayardo-Villar	Del	colonia,valle,ex,el
Amberto-Beltrán-Leyva	Silvia-Parra	mantener,un
Informaba	Chipilón-Rodolfo-García-Gaxiola	el,también,que,tras
Periódico	Imparcial	9,10,8,el
Recoveco	Gabriel	en,don,imaginar,usted
República	Senador	el,de
República	Malova	el,de
República	Presidencia	el,carta,en,entregadar
Miami	Wachovia-Bank	el,en,incautadas
Miami	Al	el,en,incautadas
Golfo	Osiel-Cárdenas	desde,que,cooptó
Golfo	Pacífico	de,del,como
Golfo	México	de,del,como
Golfo	Zetas	el,con,unidos,hermano
Roberto	Cruz-Jiménez	el,de
Moisés-Oliva	Silvia-Parra	flor,que,destacar,se
Carlos-Ramírez	Chapito	el,le,apodaban
Zulema	Scherer	julio,entrevistadar,periodista,por,el
Mochis	Martín-Noé-Aragón-Panduro-Andrés-Gómez-Salmerón	1,el,en
Mochis	Juan-Carlos-Chucky-Ibarra-Cota	1,el,morir,en
Mochis	Sinaloa	1,el,morir,en
Jalisco	Comisión-Estatal	humano,derecho,de
Jalisco	Rogaciano-Alba	traficante,guerrerense,en,capturar
Emilio	Barón	el,don,ser,pistolero,de,poder
Emilio	Babunica	el,don,ser,pistolero,de,poder
Venancio-Bustos-Espinoza	Pedro-González-Franco	el,además,mencionar,del,sargento
Arellano-Félix	Viejo	cártel,de,del,colaborador
Arellano-Félix	Teodoro	cártel,de,del,colaborador
Rogaciano-Alba	Ramiro	cacique,ubicar,al,ganadero
Ensenada	Juárez	fronterizo,ciudad
Ensenada	Matamoros	fronterizo,ciudad
Ensenada	Reynosa	fronterizo,ciudad
Ensenada	Tijuana	fronterizo,ciudad
Ensenada	Tecate	fronterizo,ciudad
Ensenada	Laredo	fronterizo,ciudad
Francisco-Santiago-Tapia-Chán	Santiago-Tapia-Tapia-Manuela-Chán-Figueroa	tener,paz,un
Chalo-Araujo	Miguel-Emilio	hijo,el,del
León	Sánchez-Lara	lo,yo,sacar
HOY	Alfredo	el,dos,de,hermanos
HOY	Beltrán	el,dos,de,hermanos
Atención	Fiscalía	nulo,resultado,de,un,haber
Ferrón	Vitara	el,camioneta,de,un
Procuraduría-General	Justicia	estadísticas,de,el
Procuraduría-General	LAS	estadísticas,de,el
Procuraduría	Justicia	el,de,corrupción,elementos
México-Colombia	Venezuela	presencia,en,central,con
México-Colombia	América	presencia,en,central,con
Carlos-Beltrán-Leyva	Alfredo	y,el,hermano
Aduanas-Seguridad	Frontera	y,el,en
Cifuentes	Chapo-Guzmán	gozar,tal,de,confianza
Armada	México	control,el,tampoco,haber,sobre
Cártel	Sinaloa	supuestamente,aseguraron,también,25,aeronav
Recodo	Cadetes	el,como
Recodo	Tigres	el,como
Defensa-Nacional	Gerardo-Clemente-Vega	y,el,de,entonces,secretario
LAS	Justicia	estadísticas,de,el
LAS	Sinaloa	cártel,del,operaciones,volvamos
Ignacio-Chávez	Rubén-Rivas-Espinosa	y,el,piloto
Ismael-Zambada	Pacífico	el,capo,del,deber
Guerrero	Jean-Paul-Ibarra-Ramírez-Juan-Daniel-Martínez-Ortiz	el,de,seguir,le,estado
Guerrero	Sonora	encabezaron,en,por,ejemplo
Guerrero	Rogaciano-Alba-Chapo-Guzmán	cacique,el,en,local
Guerrero	Pelones	encabezaron,en,por,ejemplo
Mentía	Amado-Carrillo	el,abiertamente,verdad,ser
Movimiento-Indígena-Revolucionario-Antizapatista	Justicia	y,año,12,paz
Ricardo-Alfredo	Luis-Carlos-Carrillo-Cano	junto,nota,sus,con
Rosa	Cortés	el,de
Rosa	Óscar	el,de
Guadalajara	Zapotlanejo	el,carretera,libre
Guadalajara	Agarro	el,carretera,libre
Bayardo	Garay	ordenar,sus,contar
Bayardo	Tigre	seudónimo,el,del
Italia	México	en,saber,si,ofrecer,como,se
Gilberto-Monzón	María-López-Madrid	el,del,encargar,templo
Luis-Cárdenas-Palomino	Inteligencia	director,el,de
David-Luhnow	Córdoba	y,el,periodista
David-Luhnow	José	y,el,periodista
David-Luhnow	Joaquín-Guzmán	y,el,periodista
Cono-Sur	Argentina-Chile	presencia,en,con
Cono-Sur	Uruguay	presencia,en,con
Documento	Cisen	también,al,atribuir
Emilio-Guzmán-Montejo	Policía-Bancaria	hijo,su
Maestranza-Madero	Al	más,menos,o,llegar
Argentina-Rusia	Cuba	lo,ubicar,que,rumor,circular
Francia	México	irse,embajador,como
Francia	París	irse,embajador,como
Herrera	Reclusorio-Sur	el,12,de,mayo
Mérida-Chetumal	Carmen	que,sin,saber,entonces
Ramírez-Mandujano	Inocente	culpable,o
Cruz	Silvestre	el,de,jefe,cocina
Obregón	Culiacancito	señalar,ciudad,que,caber
Jiménez-Mota	Ismael-Zambada-García	barón,de,droga,como,el
BMW	Cherokee	un,como
BMW	Mercedes-Benz	un,como
Viejo	Teodoro	cártel,de,del,colaborador
Sonora	Subimos	un,periodista,al
Sonora	Caballeros	el,en,estatal
Sonora	Secretaría	el,3,de,informe,estadístico
Sonora	Pelones	encabezaron,en,por,ejemplo
Sonora	Delegación-Estatal-Cisen	del,6
Jorge-Carpizo	Julián-Andrade	de,ganancia,pescador
Tamaulipas-Guerrero	Morelos	y,de,después
Falcone-Giovanni-Brusca	Nuvoletta	el,mandar,al,llamar
Morfín	Furiosa	y,ante,preocupadar,el
Peor	Juárez	calificadar,ciudad,aún
Oaxaca-Michoacán	Morelos	también,en
García-Márquez	Al	iniciar,año,de,cien
Chapo-Guzmán	Zambada	contra,cártel,del,el
Juárez	Matamoros	fronterizo,ciudad
Juárez	Reynosa	fronterizo,ciudad
Juárez	Tijuana	fronterizo,ciudad
Juárez	Tecate	fronterizo,ciudad
Juárez	Laredo	fronterizo,ciudad
Aguilar-Padilla	Vizcarra	y,dejemos,pero,jesús
Tepoztlán	Ahuatepec	un,fiesta,en
Carlos-Alberto	Carlos	también,por,parte,su
Enríquez	Beltrán-Leyva	y,el,sus
Peña	Hans-Iván	el,de
Peña	Moreno	el,de
Babunica	Barón	el,don,ser,pistolero,de,poder
Luigi-Ferrajoli1	México	y,el,experto,asesor,académico
Agrupamiento	Raymundo-Agustín-Hernández-Guzmán	comandante,el
Juan-Carlos-Chucky-Ibarra-Cota	Sinaloa	1,el,morir,en
Senador	Malova	el,de
Cortés	Óscar	el,de
Mochomo	Patricia-Guzmán-Núñez	1,el,se,casar
Temixco	Morelos	aeropuerto,de,primero,al,ser
Conferencia-Nacional	Conago	principio,un,por,el
Conferencia-Nacional	Gobernadores	principio,un,por,el
Fraternidad	Ángeles	el,de,en
Fraternidad	Sinaloenses	el,de,en
Esparragoza	Juan-José	allí,vivir,por,ejemplo
Scherer	Zulema-Hernández	según,le,contar
Roberto-Saviano	Gomorra	lo,así,libro,describir,el
Hijos	Carlos-Beltrán-Araujo	de,don
Vaca	Seguridad-Pública	de,ser,cabeza,haber
Vaca	Luis-Ángel	de,cabeza
Vaca	Mónica-Dalila	defender,de,para,cabeza
Vaca	González-Gaspar	el,por,ser,imputado
Vaca	Mario	el,por,ser,imputado
Laredo	Matamoros	fronterizo,ciudad
Laredo	Reynosa	fronterizo,ciudad
Laredo	Tijuana	fronterizo,ciudad
Laredo	Tecate	fronterizo,ciudad
Moreno	Hans-Iván	el,de
Readaptación-Social-Celina-Oceguera	Federal	directora,el,de,que,reo
Aduana	EUA	1,y,pgr
Aduana	Delegación-Sonora	1,y,pgr
Conago	Gobernadores	principio,un,por,el
Chihuahua	Oaxaca-Veracruz	y,el,estado
Distrito-Federal	Suburban	viejo,vehículo,un,particular
Cherokee	Mercedes-Benz	un,como
Vizcarra	Vale	el,también,señalar,detenernos,pena,un
Encabezaban	Consultoría-Internacional	el,de,lista,casa
María-Alejandra-López-Madrid	Paraguay	el,mexicano
Leticia	Eréndira	y,el,propio
Patricia-Rodríguez-Doctora	Francisco-Pacho-Cifuentes	el,ser
Jairo-Manuel-Madrid-Salazar	Beltrán-Leyva	cercano,el,persona,entre
París	México	irse,embajador,como
Tecate	Matamoros	fronterizo,ciudad
Tecate	Reynosa	fronterizo,ciudad
Tecate	Tijuana	fronterizo,ciudad
Güero-Palma	Joaquín-Chapo-Guzmán	y,el,aprehendidos,encarcelados
Güero-Palma	Héctor	y,el,aprehendidos,encarcelados
Antonio-Hoyos-Sotelo	Jefe	grupo,de,por,ex
Seguridad	Buenos-Carlos-Stornelli	ministro,de
Rodolfo-López-Amavisca	Sandra-Ávila	casadar,estar,4
Wachovia-Bank	Al	el,en,incautadas
Exequias	Javier-Valdez	miedo,de,titular
Ángel-Jiménez-García	Aviación-Ejecutiva-Hidalgo	través,de
Roberto-Madrazo-Pintado	Patricia-Terroba	dirigente,del,ex
Diputados	Cámara	el,que,en,video,llegar
Mocorito	Atenas	nombrar,le,desde,se
Otto-Herrera	Bogotá-Colombia	parte,su,ser
Santiago-Meza-López	Pozolero	el,caso,del,mexicano
Altitude	Cuernavaca	en,después
Hornos	Cessna	el,de,también,acusar
Fly	Estados-Unidos	perteneciente,un,ser,incautados
Argentina-Chile	Uruguay	presencia,en,con
Cadetes	Tigres	el,como
Policía-Judicial	Agencia-Federal	pje,del,estado
Zapotlanejo	Agarro	el,carretera,libre
Comisión-Independiente	Morelos	el,de,derecho
EUA	Delegación-Sonora	1,y,pgr
Policía-Municipal	Cajeme	el,de
Ángeles	Sinaloenses	el,de,en
Beltrán	Alfredo	el,dos,de,hermanos
Sinaloa	Martín-Noé-Aragón-Panduro-Andrés-Gómez-Salmerón	1,el,en
Sinaloa	Universidad-Autónoma	y,el,posgraduados,de
Ismael	Joaquín-Chapo-Guzmán	emerger,así,ser,como
Jorge-Soler	Aeronáuticos	el,tres,enlaz,contratar
Córdoba	José	y,el,periodista
Córdoba	Joaquín-Guzmán	y,el,periodista
Puente-Grande	México	efecto,ciudad,en,desde,el
Eduardo-Correa	Universidad-Autónoma	académico,e,investigador
Pérez-Rodríguez	Yunes	año,por,después,rescataría
Seguridad-Pública	Luis-Ángel	de,cabeza
Seguridad-Pública	Secretaría	el,de,ssp
Joaquín-Chapo-Guzmán	Héctor	y,el,aprehendidos,encarcelados
Constitución	Interpretar	y,el,aplicar
Forza	Bina	cuanto,rodrigar,del,ser,se
Arturo	Marcos	acta,en,su,quien
Cotume	Consejo-Tutelar	de,5
Joaquín-Guzmán	José	y,el,periodista
Marcelo-Schillacci	Cristian-Daniel-Lanatta-Víctor-Gabriel	y,el
Matamoros	Reynosa	fronterizo,ciudad
Matamoros	Tijuana	fronterizo,ciudad
Ejército	México	chapo,el,guzmán,ser,entregar
Ejército	Confiaban	el,en,que
Venezuela	América	presencia,en,central,con
Ruiz	García-Luna	tarde,más,simplemente
Pacífico	México	de,del,como
Astorga	Instituto	y,experto,catedrático,ser
Al	Marcola1	analizar,un,de,parte
Gory	Estados-Unidos	el,este,episodio,cuando,solicitar,del,regresarlo
Secretaría	Estados-Unidos	gobierno,de,del,parte,recurso
Mario	González-Gaspar	el,por,ser,imputado
Volvamos	Cuernavaca	de,operativo,al
Seguridad-Sociales	Instituto	y,3,de
Concha	Rafael-Macedo	el,de
Falcon	Fernando-Poot-Aurelio-Pérez	el,en,del,piloto
López-Ibarra	Rodolfo	también,pero,llamar,se
Sostengo	México	en,que,haber
Plebes	Navolato	el,banda,que,aquélla,entonar
Tijuana	Reynosa	fronterizo,ciudad
Universidad-Autónoma	Sinaloa-Héctor-Melesio-Cuén-Ojeda	el,de,rector
