Alberto-Bayardo-Robles	Juan-Enrique-Vascones-Hernández	detenido,el,discordante
Guardia	Leonel-Díaz	el,agente,de
Guardia	Hacienda	el,agente,de
Durango-Sinaloa	Chapo-Guzmán	el,del
Durango-Sinaloa	Triángulo-Dorado-Narcotráfico	el,del
Carpizo	Chapo	el,en,establecer,ser,haber,sus,dominio,capturar
Carpizo	Chapo-Guzmán	anuncio,oficial,de,sobre
Carpizo	Guatemala	el,en,establecer,ser,haber,sus,dominio,capturar
Carpizo	Guzmán-Loera	el,detall,en,abundó
Rubén-Figueroa-Alcocer	López-Soto	guardaespaldas,del,ser
Subrayó	Chapo	el,que,se
José-Antonio-Bernal-Guerrero	José-Luis-Soberanes	el,tercer,entonces
Cuencamé-Rodeo	Zetas	el,de,presencia
Internacionales	Bruce-Bagley	ese,año,presidente
Ofelia	Ofelia-Fonseca	tú,que,saber,lo
Arturo	Danny	y,el,del,comportamiento
Salomé	Puente-Grande	el,de,visita,doña,último
Rioja	Fénix	el,de,28,agosto
Mochis	Sinaloa	el,en,ser,acribillar,vivir,tres,empresario
Drogadictos-Anónimos	Zulema	y,el,de,escuela
Departamento	Justicia	cártel,el,de,señalar
Departamento	Quetzaltenango	del,ir,que,sur,país
Departamento	Sinaloa	cártel,el,de,señalar
Emma-Coronel-Aispuro	Chapo	julio,el,de,en,2007
Prevención	Gobernación-Enrique-Pérez	el,de
Prevención	Secretaría	el,de
Federación	Sinaloa	y,el,añadir,de
Guerrero	Juárez	entonces,cuando,ser,llegar
Vicente-Fox	Al	asegurar,el,contrario
Querétaro-César	Beltrán-Leyva	que,notar
Querétaro-César	Mendívil	que,notar
Querétaro-César	Felipe	que,notar
Magui	Smoking	alias,de,puro,contra,aprehensión
Coloradas	Terrero	el,de,en,comunidad
Coloradas	Cologachi	el,de,en,comunidad
Coloradas	Namiquipa	el,de,en,comunidad
Arizona	Beltrán-Leyva	estar,casi,todos,el
Arizona	Krentz	el,de,muerte,molestar
Arizona	México	de,compartir,kilómetros,626
Chiapas	Guatemala	semilla,intermediario,llevar,de,el
Elías	David	el,declaración,de,se,tratar
Hacienda	Leonel-Díaz	el,agente,de
Hacienda	Rosario	casualidad,de,vecino,ser,por
Jorge-Fernández-Paredes	Migración	responsable,de
Establo-Puerto-SA	CV	rico,ellas,ser
Establo-Puerto-SA	Jamaro-Constructores-SA	rico,ellas,ser
Durango-Culiacán	Gobierno	y,en
—Monedeux-Latin-América	RL	s,de
—Monedeux-Latin-América	CV	s,de
Felipe-Calderón	Al	gobierno,de
Emma	Chapo	varios,canelenses,el,que,decir
Emma	Blanca-Estela-Aispuro-Aispuro-Inés-Coronel-Barrera	el,supuesto,padr,por,de
Emma	Angostura	el,allí,en,ser
Emma	Aispuro	mamá,de,ser
Emma	Tamazula	mamá,de,ser
Baudelia-Ayala	Canelas	nuevo,de,como,reina
Danny-Ortiz	Arturo-González	contra,en,principio,ir,el
Namiquipa	Terrero	el,de,en,comunidad
Namiquipa	Cologachi	el,de,en,comunidad
Guatemala-Ángel-Conté-Cohulum	Migración	el,de,oficina,responsable
México-Estados	Centroamérica	droga,trasiego,de,desde
Durango-Chihuahua	Sinaloa	hacer,entre,cuenta
Mochomo	Estados-Unidos	detención,el,cuya,festejó
León-Carpio-Carlos-Salinas	Ramiro	el,un,ser,entre,arreglo
Guerrero-César-Olivas	Sexto	el,en
Juan-Díaz	Juárez	cargo,ciudad,de,estar
Juan-Díaz	Leopardo	cargo,ciudad,de,estar
Policía-Nacional	Gonzalo-Figueroa	por,parte,su
Policía-Nacional	Nicaragua	acuerdo,el,de,con
Policía-Nacional	Absalón-Cardona-Cardona	eso,coincidiar,en
Barbas	Arturo-Beltrán-Leyva	el,como
Barbas	Al	el,como
Barbas	Ismael-Zambada-García	el,como
Zulema-Hernández	Chapo-Guzmán	atender,el,su
Zulema-Hernández	Puente-Grande	el,en,capar
Zulema-Hernández	Guzmán-Loera	de,otra,pareja
Canelas-Durango	Triángulo-Dorado	en,pleno
Guadalupe	Cerro	colonia,el,en
Ocampo	Topia-Otáez	el,de,asesinar,acaldes
Hilario-Serrano	Gobernación	en,cuanto,rey
Jefes-Ibarra-Celis	Jefe	ante,el,presión,del
Cázares	Estados-Unidos	señaladar,también,por,ser
Porvenir	Ojinaga	tener,desde,el
Porvenir	Gavilán	tener,desde,el
Alegre	Canelas	escuchar,seguir,en,se
Procuraduría-General	República	el,de,que,imagen
Heriberto-Rodríguez-Garza	Alebrije	específicamente,mencionar
Gómez-Castillo	Ronco	otro,el,de,deudores
Brasil	Paraguay	y,el,de,trabajo
Recibimos	Ejército	el,15,contra,queja
Ángeles	Chapo	y,el,si,estar
Alfredo-Mota-Sandoval-Muerta	Juárez	el,de,valle,lo
Cuarto-Federal-Penal-Especializado	Culiacán	un,dirigir,se,con
Tello	Calderón	el,de,desde,su,inicio
Navolato-Aguirre	Aceptar	explicar,que
Suprema-Corte	Justicia	día,antes,el
Suprema-Corte	Nación	día,antes,el
Colombia	Al	el,fracasar,negociación,con
Colombia	Chile	elegir,por,país,cualquier,ejemplo
Balleza	Jiménez	y,delicia
Balleza	Parral	y,delicia
Balleza	Camargo	y,delicia
Balleza	Evaristo-Rentería	y,delicia
Marisa-Peñaloza	Burnett	el,con,productora,junto
Sierra-Madre-Occidental	Canelas	el,en
Forbes	Buscaglia	reporte,señalar,que,el
Justicia	Chihuahua	exprocuradora,de
Justicia	Patricia-González-Rodríguez	exprocuradora,de
Justicia	Nación	día,antes,el
Justicia	Procuraduría	el,según,de,estatal
Justicia	Sinaloa	cártel,el,de,señalar
Gavilán	Ojinaga	tener,desde,el
Comisión-Nacional	Altos	el,funcionario,de
Especializado	Readaptación-Tratamiento	actividad,delictiva,también,en,haber
Tecún-Umán	México	localidad,el,de
Lancaster-California	Antelope-Valley	de,poder
Juárez	Leopardo	cargo,ciudad,de,estar
Juárez	Gabino-Salas-Valenciano	el,de,ser,valle
Juárez	Torreón-Coahuila	el,de,en,jóvén,matanza
Juárez	Sinaloa	cártel,el,de,poder
Juárez	Felipe	ciudad,en,al,buscar
Juárez	Espitia-Hernández	ciudad,en,al,buscar
Juárez	Aztecas	grupo,en,al,principal
Juárez	José-Antonio-Torres-Marrufo	operador,el,ciudad,en
Juárez	Vicente-Carrillo	asistir,que,saber
Planeación	Nacional	el,según,del,centro,oficio
Morfín-Otero	Puente-Grande	lo,en,sucedido
Pineda-Medrano	Procuraduría	el,según,de,informe
Bartolo-Pineda-Medrano	Víctor-Manuel-Mena-Solís	detenido,el
Bartolo-Pineda-Medrano	Francisco-Cárdenas-Luque	detenido,el
Estados-Unidos	Buscaglia	el,según,de,gobierno
Estados-Unidos	Vicentillo	el,le,se,acusar
Estados-Unidos	Guatemala	le,al,pedir
Estados-Unidos	Informaciones	el,obtenidar,por,reporteros
Estados-Unidos	Chapo-Guzmán	el,según,tener,de,gobierno,llevar
Estados-Unidos	Recordó	que,ofrecer
Estados-Unidos	Departamento-Tesoro	lapso,el,ese,durante
Estados-Unidos	Emperatriz	el,de,como
Beltrán-Leyva	Chapo	el,de,organización,hermano
Beltrán-Leyva	Felipe	que,notar
Beltrán-Leyva	Ismael-Zambada-García	el,asociados,estar
Beltrán-Leyva	Mendívil	que,notar
Sergio-Rueda-Montoya	PAN	el,diputado
Presidencia	Chapo	de,que,después
Presidencia	Fox	de,que,después
Presidencia	Al	hijo,del,que,ser
