Puerto-Vallarta	Javier	tarde,de,vuelo
New-York-Times-«With	Felipe-Díaz-Garibay	el,diputado,con
New-York-Times-«With	Entrevistas	el,diputado,con
Shelby	Chris-Curry	alguacil,el,del
Shelby	Alabama	lugar,el,de,condado,como
Rupert-Murdoch-Bill-Gates	Barack-Obama	hasta,arriba,estar
Kingpin	Estados-Unidos	el,según,de,ley
Errol-Chávez	Diego	tener,su,quien
Errol-Chávez	Entrevistas	el,agente,de,especial,ex,con
Drogas-Distrito-Sur	California	el,del
Trillo	Chapo	haber,ayudar,al
Ravelo	Blancornelas-González-Ruiz	el,del,entrevista
Ravelo	Capos	el,del,entrevista
Associated-Press-«Feds	Gun-Mexican	seizures,cash
Associated-Press-«Feds	Elliot-Spagat	seizures,cash
González-Ruiz	Embajada	y,con
González-Ruiz	Entrevistas	y,con
Marc-Lacey-New-York-Times	Reporte	de,del
Anthony-Plácido	Inteligencia	el,de,jefe
Zapopan	Kristen-Paige	de,un,afuera,llamar
Zapopan	Balibar	de,un,afuera,llamar
Familia	Chapo	el,har,acordar,un
Familia	Zetas	diferencia,el,de,o
Familia	Hablaban	el,de,en
Atlanta	Golfo	un,identificadar,ser,como
Ricardo-Alemán	«Tello-Peón	el,universal
Ricardo-Alemán	México	el,universal
Ricardo-Alemán	«El-Chapo	el,universal
Jornada	Arturo-Cano	el,pobre,político
Jornada	País	nuevo,el,geografía,del
Jornada	Colosio	asesinato,el,de
Jornada	Milenio	el,que,ser,reforma,frecuente
Jornada	Chapito	el,que,defensa
Jornada	Alberto-Najar	nuevo,el,geografía,del
Culiacán-Juárez	Matamoros	ciudad,en
Culiacán-Juárez	Entrevistas	ciudad,en
Nueva-Jersey	California	establecer,gente,desde,bodega,su
Scherer	Máxima-Seguridad	el,un,de,en,sus
Cando	Chapo	salir,otro,de,ir
Noroeste-«Granadazo	Noroeste-«El-Ejército	el,nota,de,en
Emma-Coronel-Aispuro	Angostura	y,nacer
Emma-Coronel-Aispuro	Emma-Guzmán-Coronel	haber,se
Cielos	Bosques	el,de,señor
Angeles-Times	Deutsche-Presse-Agentur-«Mexican	el,master,por
Angeles-Times	Chris-Kraul	el,kingpin,drug
Angeles-Times	«General-Gutiérrez	el,head
Angeles-Times	«In-Sinaloa	el,en,del,rincón,con
Angeles-Times	Yudit	el,en,del,rincón,con
Angeles-Times	Richard-Boudreax	el,master,por
Angeles-Times	«Fixing-Mexico	el,police
Angeles-Times	Culiacán	el,en
Angeles-Times	Entrevistas	el,en,federal,funcionario,del,ex,con,rincón
Angeles-Times	Tracy-Wilkinson	el,play,bigger
Angeles-Times	Ken-Ellingwood-Tracy-Wilkinson	el,cartels,weaponry
Angeles-Times	Antonio-Express-News	el,pgr,master
Angeles-Times	Michael-Goodman	el,magazine,por
Angeles-Times	Josh-Meyer	el,cartel,resort
Angeles-Times	Mark-Fineman	el,head
Angeles-Times	Richard-Boudreaux	el,por,master,pgr
Angeles-Times	«Coastal-Tijuana	el,kingpin,drug
Angeles-Times	Ken-Ellingwood	el,police
Angeles-Times	Scott-Kraft	el,por,borderline
Guatemala-Guzmán	Honduras	en,estar
Defensa	México	2003,de,para,el
Defensa	Secretaría	2003,de,para,el
Mexican-Gustavo	William-Booth	asylum,por,forces
Joe-Contreras	Newsweek-«Underworld-Queenpin»	por,2007
Federación	Chapo	y,el,acaso
Federación	Cuernavaca	el,de,en,reunión
Garay	Antonio-Garza	superior,de,ser,inmediato
LAS	Estados-Unidos	de,autoridades
LAS	Badiraguato-Sinaloa	montañas,el,de,alrededor
LAS	Tuna	montañas,el,de,alrededor
Canadá	Operación-Xcellerator	descubrir,el,también
Expresiones	Alberto-Velázquez	de,periodista
Expresiones	Tulum	de,periodista
Rancho	María	jesús,de,yo
«Guzmán-Loera	Estados-Unidos	considerar,un,ser,aún
Joseph-M.-Arabit	Comité	testimoniar,dea,agente,del,especial
Eddy	Chapo	el,informe,de,lucha,del,y
Eddy	Zetas	también,de,se,acusar
Eddy	Luis-Alberto-Cano-Zepeda-Chapo	el,poco,del,después,soldado
Nogales-International-«Documents	Michel-Marizco	paint,agent,picture
Nogales-International-«Documents	Nogales-International-«Obstruction	paint,agent,picture
Héctor-Félix-Miranda	Tijuana	de,periodista
«Guatemala-Mexican	Reuters-«Guatemala-México	reuter,checks,dead,shootout
«Guatemala-Mexican	Mica-Rosenberg	reuter,checks,dead,shootout
Admitía	Chapo	pista,tener,que,para
Navy-Times-«Legislation	Amy	por,targets
Arizona	México	simplemente,por,se,dirigir
Nayarit	Sinaloa	y,el,vecino,estado
«In-Sinaloa	Yudit	el,en,del,rincón,con
«In-Sinaloa	Culiacán	el,en
«In-Sinaloa	Entrevistas	el,en,del,rincón,con
Embajada	Entrevistas	y,con
Anthony-Placido	Inteligencia	testimoniar,dea,de,del,jefe
Zhenli-Ye-Gon»	Del-Quentin-Wilber	charges,por
Zhenli-Ye-Gon»	Mexican	charges,por
Zhenli-Ye-Gon»	Washington-Post-«Mexico	charges,por
America	Estados-Unidos	de,vs
Felipe-Calderón	Margarita-Zavala	y,el,presidente
Marisa-Taylor	«Drug-Mexico	periódico,de,mcclatchy,pushes,violence
«El-Chapo	Dane-Schiller	el,set,san,por,pgr,master,suspected
«El-Chapo	Francisco-Gómez	crear,el,universal,de,un,red
«El-Chapo	México	el,universal
«El-Chapo	«Tello-Peón	el,universal
«El-Chapo	Ricardo-Ravelo-January	proceso,fuga,por
«El-Chapo	Estados-Unidos	el,ganar,embajada,se
«El-Chapo	Alfredo-Méndez	el,en,jornada,esconder
«El-Chapo	Antonio-Express-News	el,set,san,por,pgr,master,suspected
«El-Chapo	Richard-Boudreaux	el,set,san,por,pgr,master,suspected
Emma	Culiacán	el,según,vecino,montaña
Sinaloa-Tijuana	Juárez	cártel,el,de,actor,principal
Noroeste	Sandoval	discurso,publicar,de,en
Instituto-Nacional	Federalismo	el,para
Instituto-Nacional	Municipal	el,para
Insight	White-Tiger	por,revista
Insight	Jamie-Dettmer	por,revista
Debolsillo	Blancornelas	el,jesús
Debolsillo	Cártel	el,jesús
Wall-Street-Journal-«The	David-Luhnow-José	lord,drug
Héctor-Valenzuela	Sinaloa	eso,de,estar
Édgar	Chapo	hijo,el,del
Édgar	México	nuevo,pertenecer,el,generación
Édgar	Culiacán	asesinato,poco,antes,de,del
Gerardo-Maximiliano-Coronel-Razo	Manuel-Beltrán-Zepeda-«El-Caballo»	alias,jesús
Barbas	Humaya	el,en,ser,enterrar
Barbas	Culiacán	el,en,ser,enterrar
Zulema-Hernández	Chapo	acuerdo,de,con
Zulema-Hernández	Puente-Grande	tener,en,aunque
García-Ábrego	Chapo	el,como
García-Ábrego	Golfo	del,fundar
García-Ábrego	FBI	un,del,hombre,encubiertar
Ofelia-Contreras-González	Oswaldo-Benjamín-Gómez-Contreras	cocinero,dos,en,particular
«Noé-Sandoval	Rafael-González	guerra,el,debater,haber
Grisel	Edwin	hijo,que,sus,igual
Tecate	Culiacán-Mexicali	el,diseminadar,estar,por,casa
Juárez-Golfo	Chapo	se,el,haber,imaginado
Alberto-Velázquez	Tulum	de,periodista
Manuel-González-Sánchez	Entrevistas	jesús,con
Columbus	Luna	y,el,que,condado
Ramón	Arellano	el,dos,de,hermano
Ramón	Francisco	el,dos,de,hermano
Ramón	Eduardo	el,hermano
Ramón	Al	asegurar,que,parecer
Ramón	Javier	el,hermano
Ramón	Benjamín	el,morir,estar,se,hermano
Ramón	Dorada	el,quinto,se,día
Ramón	Arellano-Félix	el,hermano
Zhenli	Al	contra,en,prueba,su,ser
Tamaulipas	Juárez	ni,en,tampoco
Tamaulipas	Campeche	sin,de,ser,dificultad
Senado	Internacional	legislativo,de,sobre,junta
Senado	Narcóticos	legislativo,de,sobre,junta
Eduardo-Medina	Sinaloa	fuente,de,entrevista,con
Joaquín-Guzmán…	Joaquín-Guzmán	que,bueno,pensar
Jerry-Adler	Newsweek	role,por,drug
Ángeles	Chicago	y,el,en
Ángeles	José-Reynoso-González	dea,el,un,arrestar,traficante
Drogas	«National-Drug-Threat-Assessment	trascender,de,centro,contra,un,del,reporte
Drogas	Inteligencia	trascender,de,centro,contra,un,del,reporte
Drogas	Políticas-Nacionales	de,oficina,sobre
Drogas	Nacional	trascender,de,centro,contra,un,del,reporte
Richard-Boudreaux	Dane-Schiller	el,set,san,por,pgr,master,suspected
Richard-Boudreaux	Antonio-Express-News	el,set,san,por,pgr,master,suspected
Fernando-Henrique-Cardoso-César-Gavira	Wall-«The	drugs,por,war,streetjournal
Matamoros	Entrevistas	ciudad,en
Matamoros	Sinaloa	el,de,cárcel,tener
Matamoros	Brownsville-Texas	otro,el,lado,de,del
Matamoros	Reportaje	autor,en,del
Matamoros	Cárdenas	en,1967,nacer
Iván-Archivaldo	Chapo	detener,el,cuando
Iván-Archivaldo	Chapito	detener,el,cuando
Inteligencia	Nacional	trascender,de,centro,contra,un,del,reporte
Inteligencia	«National-Drug-Threat-Assessment	trascender,de,centro,contra,un,del,reporte
Tijuana-Amado-Carrillo	Arellano-Félix	el,mientras,hermano
Washington-Post-«Mexico	Del-Quentin-Wilber	charges,por
Washington-Post-«Mexico	Mexican	charges,por
Eréndira	Chapo	embargo,que,sin,saber
Jaime-Dettmer	Insight-«Asuntos	de,por,revista
Triángulo	Chapo	pero,bien,del,tratándose
Callejón	Cocaína	el,de
Callejón	Corona-Verbera	cada,etapa,supervisar
Fotos	Google-Earth	aéreo,de,mexicano,militar
Reynosa-Matamoros	New-York-Times-«In-Mexican	autor,en,del,reportaje
Reynosa-Matamoros	Laredo	impr,día,en,sobre,hoy
ABC-News/Nightline-«Drug	Ginger-Thompson	guerra,por
ABC-News/Nightline-«Drug	Milenio-«Los-Zetas	guerra,por
White-Tiger	Jamie-Dettmer	por,revista
Arellano-Félix…	Benjamín	el,de,hermano
Arellano-Félix…	Sinaloa	el,de,hermano
Gun-Mexican	Elliot-Spagat	seizures,cash
Forbes	Chapo	el,cuando,revista,incluir
Forbes	Guardian-«El-Chapo	narcotice,king
Forbes	Jo-Tuckman	narcotice,king
Almoloya	Juárez	el,de,patio,prisión
Astorga	Amaral	el,con,historiador
Astorga	Entrevistas	el,con,historiador
Corona-Verbera-Tribunal	Felipe	jesús,de
Corona-Verbera-Tribunal	Apelaciones	jesús,de
Michoacán	Chapo	acuerdo,de,en
Michoacán	Entrevistas	y,funcionario,residente,con
Marcos-Arturo-Mochomo	Cuernavaca	y,el
Dane-Schiller	Mexican	por,dallar
Dane-Schiller	Golfo	suspected,set,san
Dane-Schiller	Houston-Chronicle-«Cocaine-Jesus-Texas	pgr,statue
Dane-Schiller	Morning-News-«Lieutenant	por,dallar
Dane-Schiller	Antonio-Express-News	el,set,san,por,pgr,master,suspected
Dane-Schiller	Transcripciones	suspected,set,san
Chris-Kraul	«Coastal-Tijuana	el,kingpin,drug
Juárez	Chapo	representación,el,en,rival,haber,su,eliminar,ciudad,del,enviar
Juárez	Carrillo-Fuentes…	ciudad,de,alrededor
Juárez	Culiacán	2009,de,final,para,tanto
Juárez	Guzmán-Nares-Benjamín-Dosal-Rodríguez	ciudad,armar
Juárez	Entrevistas	y,funcionario,residente,con
Juárez	Luis-Carlos-Rosales	ciudad,armar
Juárez	Negros	el,ciudad,enviar
Juárez	Texas	todas,ciudad,sus,con
Juárez	Rancho-Anapra	ciudad,un,poder,ser
Juárez	Reportaje	autor,ciudad,en,del
Franco-Ríos	Arellano-Félix	y,el
Franco-Ríos	Mexicano	y,el
