Enrique-Cervantes-Aguirre	Sedeña	el,de
Puerto-Vallarta	Santoyo	feria,en,se,comprar
Revolucionario-Institucional-Sindicato-Nacional	Miguel-Ángel-Yunes	al,renunciar
Pathfinder	AFI	lugar,el,rodear,junto
Tuna	Cosalá	hasta,el,de
Blanca-Margarita-Cazares-Salazar	Arturo-Meza-Cázares	morir,él,con
Francisco-Navarro-Espinosa	Garay	del,de,28,al,30
Santillán	Juárez	cártel,el,de,con
Mazatlán-Sinaloa	Salcido	imperio,tener,aunque,su
Schmidt	Berrellez	9,el,de,febrero
Rafael-Aguilar-Guajardo	Pacífico	lo,largo,del,norte
Vázquez	Zedillo	el,protegidos,ser,hermano
Océano-Pacífico	México	el,de,topografía,lo
Zedillo	Enrique-González	el,del,padre,presidente
Benjamín-Guzmán-Loera—	Judicial-Estatal	credencial,un,mostrar
Vizcarra	Sinaloa	nadie,en,olvidar,poder
Julián-Venegas	Tonino	pista,el,de,en
Ernesto	Samper	el,de,o
Ernesto	César	el,de,o
José-Luis-Santiago-Vasconcelos	Genaro-García-Luna	acoso,el,de
Atlanta	Ángeles	el,concentrar,en,dinero
Atlanta	Nueva-York	el,concentrar,en,dinero
Atlanta	Chicago	el,concentrar,en,dinero
César	Chapo	ya,el,ser,llegar
César	Samper	el,de,o
Felipe-Juan-Camilo	Aitza	morir,estar
Ignacio-Morales	Distrito-Federal	ser,lechuga,procurador
Ignacio-Morales	Carlos-Salinas	proponer,le,lechuga
Carlos-Salinas	Ceja	el,sexenio,en,1990,justo,de,cuando,1988,1992,del,ex,familia,secretario,2,presidente,particular
Carlos-Salinas	Jorge-Carrillo-Olea	1990,de,en
Carlos-Salinas	Enrique-Álvarez-Castillo	2,de
Carlos-Salinas	Gortari	el,sexenio,en,1990,justo,de,cuando,1988,1992,del,ex,familia,secretario,2,presidente,particular
Carlos-Salinas	Carrillo-Olea	pesar,el,de,confianza
Tello-Peón-Wilfrido-Robledo-Madrid	Humberto-Martínez-González	miembro,ser
P	Escondido	avión,el,u,llegar
Zulema	Scherer	julio,le,comentar
Zulema	Yves-Eréndira	mientras,que,acostar,así,se
Marcela-Alejandra-Sáenz-Hirschfeld	Aarón-Sáenz-Hirschfeld	hijo,sus
Marcela-Alejandra-Sáenz-Hirschfeld	Eduardo-Sáenz-Hirschfeld	hijo,sus
Tijuana	Al-García-Gaxiola	poco,tiempo
Tijuana	Angeles	vivir,en
Tijuana	California	vivir,en
Tijuana	Burgos-Araujo	vivir,en
Tijuana	Rodolfo-García-Gaxiola	comandante,ser
Angélica-Inda	Puente-Grande	flor,de,así,como
Francisco-Gutiérrez-Barrios	Gobernación	el,arribaban,la,similar,de,procuraduría,envío
Francisco-Gutiérrez-Barrios	Secretaría	el,arribaban,la,similar,de,procuraduría,envío
Jorge-Luis	Juan-David-Ochoa	1991,el,enero,en,de
