Montes	Al	exactamente,día,siguiente,el
Puerto-Vallarta	Fonseca	más,que,alcanzar,llegar
Arellano	Tiburón	el,interrogarme,hermano,sobre,empezar
Arellano	Amado-Carrillo	el,averiguar,que,jurarían,har,después
Arellano	Insurgentes	el,por,enviar,comando
Arellano	Mayel	el,interrogarme,hermano,sobre,empezar
Arellano	Tijuana	el,quedar,que,haber
Tijuana-Mexicali	Ensenada	narcotraficante,con,asunto,pendiente,ser
Ramón-Arellano	Lino-Quintana	lugarteniente,de
Ramón-Arellano	Zeta	semanario,el,según,ni
Ramón-Arellano	Dorada	un,por,correr
Querétaro	Guerrero-Morelos	operar,en
Querétaro	Jalisco	operar,en
Querétaro	Sinaloa	operar,en
Querétaro	Quintana-Roo	operar,en
Querétaro	Chiapas	operar,en
Arizpe	Sierra	rumbo,el,convoy,enfiló
Chapo	Juárez	guerra,el,un,contra
Chapo	Puente-Grande	el,evasión,de,tras
Chapo	Federación	el,en,por,ese,soñadar,soñar
Chapo	Mochomo	el,casar,estar,con
Chapo	Zambada…-Estuvimos	el,en,platicando,con
Chapo	Beltrán	y,el
Chapo	Forbes	el,més,atrás,revista
Chapo	Palma	el,en
Chapo	Zulema	el,que,su,dictar
Chapo	José-Luis-Santiago-Vasconcelos	el,subprocurador
Chapo	Venegas-Guzmán	fín,el,de,ochenta
Chapo	City-Club	hijo,el,de,acribillar
Chapo	Jorge-Fernández-Menéndez	el,según,periodista
Chapo	Almoloya	el,1993,en,cuando
Chapo	Eduardo-Medina	el,entrante,procurador
Comité	Exteriores-Senado	un,del,calibre,informe
Mauricio-Fino	Gaviota	narcotraficante,el
Gilberto-Vázquez-Culebro	Francisco-Cabrera-Castro	alias,el
Gilberto-Vázquez-Culebro	Piedra	alias,el
Carpizo	Eduardo	valle,cuando,ser,designar
Daniel	Vaca	el,en,pgr,ser
Adela-Navarro	Zeta	directora,de,afirmar
Coparmex	Tijuana	el,que,aunque,sostener
Presidencia	Vicente-Fox	el,llegada,siguiente,llegar,de,acabar,mes
Presidencia	República	el,acabar,de,desde,llegar
Presidencia	Al	el,llegada,siguiente,llegar,de,acabar,mes
Pedro-Lupercio	Guadalajara	invitar,un,ser,comer
Pedro-Lupercio	Colsa	invitar,un,ser,comer
Tepito	Cabrera-Castro	excepción,de,gatillero
PAN	Acosta	de,un,personaje,medio
Colsa	Operación-Cóndor	cuando,ver,por,primero
Colsa	Abordaron-Suburban	declarar,camionetas,tres
Colsa	Guadalajara	invitar,un,ser,comer
Colsa	Nueva-York	viajar,luego
Hummer	Pozolero	el,ir,en,un
Bájate	Efraín	el,le,decir
Bájate	Ramón	le,correr,carro,al
Saldaña	Beltrán	narcotraficante,un,ligar,ser
Caro-Fonseca	Félix-Gallardo	el,de,problema
PRI	Guzmán-Loera	el,har,que,señalar
Braun	Guzmán	enero,en,de,2010
Juan-García-Ábrego	Óscar-López-Olivares	tener,razón
Juan-García-Ábrego	Profe	tener,razón
Cabezón	José-Luis-Sosa-Mayorga	de,ellos,uno
González-Quirarte	California	pagar,varios,operativo
Samuel-Ramírez-Razo	Ernesto-Fonseca-José-Luis-Gallardo	pistoleros,dos,de
Benjamín	Hodoyán	el,de,un,apadrinó
Benjamín	Zambada	el,de,un,apadrinó
Casio	Pentium	policía,el,le,asegurar
Jaime-Gamaliel-Valdez	Raquenel-Villanueva	el,abogada,que
Chacal	Lupercio-Serratos	el,rápido,llamar
Loma	Cerrada	casa,de,en,ubicadar
Ricardo-Ravelo	Al	derecho,de,brazo
Ricardo-Ravelo	Salvador-Gómez	derecho,de,brazo
República	Vicente-Fox	acabar,de,llegar
República	Procuraduría-General	el,de,en
Juan-Mauro-Palomares	Acuario	lo,seguir,todas,ochenta,parte
Amado-Carrillo	Responsabilizaba	de,haber
Amado-Carrillo	Adrián	el,carrera,acudiar,cita
Puente-Grande	Alfredo-Beltrán	recluido,en,ser
Puente-Grande	Readaptación-Social-Enrique-Pérez-Rodríguez	viajar,quienes
Tony-Tormenta	Embestían	el,corredor,en,del
Tony-Tormenta	Golfo	el,corredor,en,del
Ramón	Antonio-Arias	por,pero,correr
Ramón	Bugambilias	por,pero,correr
Ramón	Cálmate	el,le,decir,demás
Rolex	Adrián	lo,único,un,ser
Alcides-Ramón-Magaña	Juan-Carlos-Pérez-Zúñiga	escolta,el
Félix-Gallardo	Juan-José-Esparragosa-Moreno	de,por,indicación
Somos	Brunt-Acosta	decir,menos,cuando,mal
México	Estados-Unidos	el,que,ser,arma
México	Regresen	inmediato,ciudad,de,el
Grande	Sergio-Villarreal	el,ser,de,al,semejante,reuniar,cártel,se
